Vendor,Vendor Name,Psoft Part Number,MOVE Part Number,Qty OnHand,Status,Type,Stock Type,Weight,Weight UOM,Master Pack Qty,Std Pack Qty
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042956,AS568-218FKM,300,A,NN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042955,AS568-218EPDM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042954,AS568-218BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042953,AS568-218VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042952,AS568-217FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042951,AS568-217EPDM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042950,AS568-217BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042949,AS568-217VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042948,AS568-216FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042947,AS568-216EPDM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042946,AS568-216BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042945,AS568-216VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042944,AS568-215FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042943,AS568-215EPDM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042942,AS568-215BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042941,AS568-215VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042940,AS568-214FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042939,AS568-214EPDM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042938,AS568-214BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042937,AS568-214VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042936,AS568-213FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042935,AS568-213EPDM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042934,AS568-213BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042933,AS568-213VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042932,AS568-212FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042931,AS568-212EPDM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042930,AS568-212BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042929,AS568-212VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042928,AS568-211FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042927,AS568-211EPDM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042926,AS568-211BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042925,AS568-211VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042924,AS568-210FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042923,AS568-210EPDM,300,A,NN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042922,AS568-210BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042921,AS568-210VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042920,AS568-116FKM,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042919,AS568-116EPDM,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042918,AS568-116BUNAN,500,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042917,AS568-116VMQ,300,A,IN,MGD,0, ,0,100
0000000003,"Aavid, Thermal Division of Boyd Corp",000000000006042916,AS568-115FKM,300,A,IN,MGD,0, ,0,100
